camera_id,location_name,latitude,longitude,status,installation_date
CAM-001,Times Square Station Platform A,40.7580,-73.9855,Active,2020-03-15
CAM-002,Times Square Station Platform B,40.7582,-73.9857,Inactive,2020-04-22
CAM-003,Grand Central Terminal Main Concourse,40.7527,-73.9772,Active,2020-06-10
CAM-004,Penn Station Entrance 1,40.7506,-73.9935,Active,2020-07-18
CAM-005,Union Square Station North,40.7359,-73.9911,Maintenance,2020-09-05
CAM-006,Herald Square Platform,40.7505,-73.9885,Active,2020-10-12
CAM-007,34th Street Hudson Yards,40.7555,-74.0021,Active,2020-11-20
CAM-008,Columbus Circle Station,40.7678,-73.9819,Active,2021-01-18
CAM-009,Brooklyn Bridge-City Hall,40.7130,-74.0048,Inactive,2021-02-25
CAM-010,Fulton Street Station,40.7104,-74.0072,Active,2021-03-30
CAM-011,Wall Street Station,40.7075,-74.0113,Active,2021-05-08
CAM-012,Chambers Street Platform,40.7153,-74.0090,Maintenance,2021-06-14
CAM-013,14th Street-Union Square,40.7340,-73.9903,Active,2021-07-22
CAM-014,Astor Place Station,40.7295,-73.9914,Inactive,2021-08-29
CAM-015,Canal Street Station,40.7188,-74.0007,Active,2021-09-15
CAM-016,City Hall Park,40.7127,-74.0060,Maintenance,2021-10-20
CAM-017,Roosevelt Island Tramway,40.7615,-73.9496,Active,2021-11-27
CAM-018,South Ferry Terminal,40.7012,-74.0131,Active,2021-12-30
CAM-019,High Line Park Entrance,40.7479,-74.0048,Active,2022-01-28
CAM-020,Staten Island Ferry Terminal,40.6430,-74.0736,Active,2022-02-25
CAM-021,Washington Square Park,40.7308,-73.9973,Active,2022-03-30
CAM-022,Bryant Park,40.7536,-73.9832,Active,2022-04-15
CAM-023,Central Park South Entrance,40.7651,-73.9765,Maintenance,2022-05-20
CAM-024,Lincoln Center Plaza,40.7725,-73.9835,Maintenance,2022-06-10
CAM-025,Metropolitan Museum of Art Entrance,40.7794,-73.9632,Active,2022-07-18
CAM-026,Museum of Modern Art,40.7614,-73.9776,Active,2022-08-25
CAM-027,Broadway Theatre District,40.7590,-73.9845,Active,2022-09-12
CAM-028,Fifth Avenue Shopping District,40.7638,-73.9721,Active,2022-10-20
CAM-029,SoHo Shopping Area,40.7233,-74.0020,Maintenance,2022-11-08
CAM-030,Chinatown Plaza,40.7158,-73.9970,Active,2022-12-15
CAM-031,Little Italy Street,40.7191,-73.9973,Active,2023-01-22
CAM-032,The High Line Park,40.7479,-74.0049,Active,2023-02-18
CAM-033,Washington Heights Station,40.8401,-73.9397,Inactive,2023-03-25
CAM-034,Yankee Stadium Entrance,40.8296,-73.9262,Active,2023-04-20
CAM-035,Coney Island Boardwalk,40.5749,-73.9850,Active,2023-05-15
CAM-036,Brooklyn Botanic Garden,40.6694,-73.9624,Maintenance,2023-06-22
CAM-037,Prospect Park Entrance,40.6602,-73.9690,Active,2023-07-30
CAM-038,DUMBO Waterfront,40.7033,-73.9881,Active,2023-08-18
CAM-039,Flushing Meadows Corona Park,40.7340,-73.8369,Active,2023-09-25
CAM-040,Queensboro Bridge Pedestrian Path,40.7561,-73.9545,Active,2023-10-12
CAM-041,Bronx Zoo Entrance,40.8506,-73.8769,Active,2023-11-20
CAM-042,Arthur Avenue Retail Market,40.8549,-73.8880,Inactive,2023-12-08
CAM-043,St. George Ferry Terminal,40.6437,-74.0731,Active,2024-01-15
CAM-044,Snug Harbor Cultural Center,40.6439,-74.1045,Maintenance,2024-02-12
CAM-045,Inwood Hill Park,40.8686,-73.9258,Active,2024-03-20
CAM-046,Ellis Island Arrival Point,40.6995,-74.0396,Active,2024-04-10
CAM-047,Battery Park Entrance,40.7033,-74.0170,Active,2024-05-18
CAM-048,Seaport District Pier 17,40.7075,-74.0030,Active,2024-06-25
